,tx_date,file_date,last_name,first_name,order_type,ticker,asset_name,tx_amount,option_type,strike_price,expiry
0,"
                                        06/27/2024
                                    ",07/16/2024,Whitehouse,Sheldon,Purchase,GS,"Goldman Sachs Group, Inc. (The) Common Stock","$1,001 - $15,000",,,
1,"
                                        06/13/2024
                                    ",07/16/2024,Whitehouse,Sheldon,Purchase,HD,Home Depot,"$1,001 - $15,000",,,
2,"
                                        06/13/2024
                                    ",07/16/2024,Whitehouse,Sheldon,Purchase,MSFT,Microsoft Corp,"$1,001 - $15,000",,,
3,"
                                        06/12/2024
                                    ",07/12/2024,Mullin,Markwayne,Sale (Partial),IWB,Russell 1000 Ishares ETF,"$50,001 - $100,000",,,
4,"
                                        06/12/2024
                                    ",07/12/2024,Mullin,Markwayne,Sale (Partial),CMCSA,Comcast Corporation - Class A Common Stock,"$15,001 - $50,000",,,
5,"
                                        06/12/2024
                                    ",07/12/2024,Mullin,Markwayne,Purchase,PH,Parker-Hannifin Corporation Common Stock,"$15,001 - $50,000",,,
6,"
                                        06/12/2024
                                    ",07/12/2024,Mullin,Markwayne,Sale (Partial),NKE,"Nike, Inc. Common Stock","$15,001 - $50,000",,,
7,"
                                        06/13/2024
                                    ",07/12/2024,Mullin,Markwayne,Sale (Partial),IWB,Russell 1000 Ishares ETF,"$500,001 - $1,000,000",,,
8,"
                                        06/27/2024
                                    ",07/11/2024,Capito,Shelley M,Sale (Full),APD,Air Products and Chemicals,"$1,001 - $15,000",,,
9,"
                                        06/04/2024
                                    ",07/11/2024,Boozman,John,Sale (Partial),MDY,SPDR MidCap Trust Series I,"$1,001 - $15,000",,,
10,"
                                        06/24/2024
                                    ",07/11/2024,Boozman,John,Sale (Full),NMVZX,Nuance Mid Cap Value Fund Z Class,"$1,001 - $15,000",,,
11,"
                                        07/04/2024
                                    ",07/11/2024,Boozman,John,Sale (Partial),IVV,iShares Core S&P 500 ETF,"$1,001 - $15,000",,,
12,"
                                        06/04/2024
                                    ",07/11/2024,Boozman,John,Sale (Partial),EFA,iShares MSCI EAFE ETF,"$15,001 - $50,000",,,
13,"
                                        06/26/2024
                                    ",07/11/2024,Boozman,John,Sale (Partial),IEF,iShares 7-10 Year Treasury Bond ETF,"$1,001 - $15,000",,,
14,"
                                        06/26/2024
                                    ",07/11/2024,Boozman,John,Sale (Partial),SHY,iShares 1-3 Year Treasury Bond ETF,"$1,001 - $15,000",,,
15,"
                                        06/20/2024
                                    ",07/11/2024,Boozman,John,Sale (Full),CMCSA,Comcast Corporation - Class A Common Stock,"$1,001 - $15,000",,,
16,"
                                        06/04/2024
                                    ",07/11/2024,Boozman,John,Purchase,VEA,Vanguard FTSE Developed Markets ETF,"$15,001 - $50,000",,,
17,"
                                        06/24/2024
                                    ",07/11/2024,Boozman,John,Purchase,DALCX,Dean Mid Cap Value Fund No-Load,"$1,001 - $15,000",,,
18,"
                                        06/04/2024
                                    ",07/11/2024,Boozman,John,Purchase,SPY,S&P 500 SPDR,"$1,001 - $15,000",,,
19,"
                                        06/26/2024
                                    ",07/11/2024,Boozman,John,Purchase,SCHP,Schwab U.S. TIPS ETF,"$1,001 - $15,000",,,
20,"
                                        06/20/2024
                                    ",07/11/2024,Boozman,John,Purchase,MSFT,Microsoft Corp,"$1,001 - $15,000",,,
21,"
                                        06/04/2024
                                    ",07/11/2024,Boozman,John,Purchase,NMVZX,Nuance Mid Cap Value Fund Z Class,"$1,001 - $15,000",,,
22,"
                                        06/26/2024
                                    ",07/11/2024,Boozman,John,Purchase,JMBS,Janus Henderson Mortgage-Backed Securities ETF,"$1,001 - $15,000",,,
23,"
                                        06/26/2024
                                    ",07/11/2024,Boozman,John,Purchase,TLH,iShares 10-20 Year Treasury Bond ETF,"$1,001 - $15,000",,,
24,"
                                        06/04/2024
                                    ",07/11/2024,Boozman,John,Purchase,GEM,Goldman Sachs ActiveBeta Emerging Markets Equity E,"$1,001 - $15,000",,,
25,"
                                        05/07/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,ARKK,Ark Innovation ETF,"$1,001 - $15,000",Call,51.00,12/20/2024
26,"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,ARKK,Ark Innovation ETF,"$1,001 - $15,000",Put,45.00,09/20/2024
27,"
                                        05/08/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,XBI,S&P Biotech SPDR,"$1,001 - $15,000",Call,100.00,10/18/2024
28,"
                                        05/08/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,XBI,S&P Biotech SPDR,"$1,001 - $15,000",Put,90.00,10/18/2024
29,"
                                        05/13/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),INTC,Intel Corp,"$100,001 - $250,000",,,
30,"
                                        05/13/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Partial),INTC,Intel Corp,"$100,001 - $250,000",,,
31,"
                                        05/13/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),CLF,Cleveland-Cliffs Inc,"$100,001 - $250,000",,,
32,"
                                        05/13/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Partial),CLF,Cleveland-Cliffs Inc,"$100,001 - $250,000",,,
33,"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,CLF,Cleveland-Cliffs Inc,"$1,001 - $15,000",Call,20.00,07/19/2024
34,"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,CLF,Cleveland-Cliffs Inc,"$1,001 - $15,000",Call,20.00,01/17/2025
35,"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,CLF,Cleveland-Cliffs Inc,"$1,001 - $15,000",Put,17.00,01/17/2025
36,"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,GILD,Gilead Sciences Inc,"$1,001 - $15,000",Put,70.00,11/15/2024
37,"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,GILD,Gilead Sciences Inc,"$1,001 - $15,000",Put,70.00,11/15/2024
38,"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,GILD,Gilead Sciences Inc,"$1,001 - $15,000",Put,70.00,11/15/2024
39,"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),PARA,Paramount Global Cl B,"$100,001 - $250,000",,,
40,"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,CLF,Cleveland-Cliffs Inc,"$1,001 - $15,000",Call,17.00,06/21/2024
41,"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,CLF,Cleveland-Cliffs Inc,"$1,001 - $15,000",Call,17.00,06/21/2024
42,"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,CLF,Cleveland-Cliffs Inc,"$1,001 - $15,000",Call,17.00,06/21/2024
43,"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,CLF,Cleveland-Cliffs Inc,"$1,001 - $15,000",Call,17.00,06/21/2024
44,"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Partial),INTC,Intel Corporation - Common Stock,"$100,001 - $250,000",,,
45,"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Partial),CLF,Cleveland-Cliffs Inc,"$1,001 - $15,000",,,
46,"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Partial),CLF,Cleveland-Cliffs Inc,"$15,001 - $50,000",,,
47,"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Partial),CLF,Cleveland-Cliffs Inc,"$50,001 - $100,000",,,
