tx_date,file_date,last_name,first_name,order_type,ticker,asset_name,tx_amount,option_type,strike_price,expiry
03/07/2022,04/05/2022,Carper,Thomas R,Sale (Partial),FCPIX,Fidelity Advisor International Capital Appreciat,"$1,001 - $15,000",,,
03/07/2022,04/05/2022,Carper,Thomas R,Purchase,GDXJ,VanEck Junior Gold Miners ETF,"$1,001 - $15,000",,,
03/07/2022,04/05/2022,Carper,Thomas R,Purchase,MOO,VanEck Vectors Agribusiness ETF,"$1,001 - $15,000",,,
03/07/2022,04/05/2022,Carper,Thomas R,Sale (Partial),MAXR,Maxar Technologies Inc,"$1,001 - $15,000",,,
03/07/2022,04/05/2022,Carper,Thomas R,Purchase,GLD,SPDR Gold Trust,"$1,001 - $15,000",,,
03/07/2022,04/05/2022,Carper,Thomas R,Sale (Partial),NXTG,First Trust Indxx Nextg ETF,"$1,001 - $15,000",,,
03/04/2022,04/07/2022,Sullivan,Daniel S,Sale (Partial),RPM,RPM International Inc. Common Stock,"$1,001 - $15,000",,,
03/03/2022,03/14/2022,"McConnell, Jr.",A. Mitchell,Purchase,WFC,Wells Fargo & Company Common Stock,"$1,001 - $15,000",,,
02/24/2022,03/23/2022,Wyden,Ron L,Purchase,AAPL,Apple Inc. - Common Stock,"$50,001 - $100,000",,,
02/24/2022,03/23/2022,Wyden,Ron L,Sale (Partial),AAPL,Apple Inc. - Common Stock,"$50,001 - $100,000",,,
02/24/2022,03/11/2022,Capito,Shelley M,Sale (Partial),LHX,"L3Harris Technologies, Inc. Common Stock","$1,001 - $15,000",,,
02/24/2022,03/11/2022,Capito,Shelley M,Sale (Partial),MSFT,Microsoft Corporation - Common Stock,"$1,001 - $15,000",,,
02/24/2022,03/11/2022,Capito,Shelley M,Sale (Partial),LOW,"Lowe's Companies, Inc. Common Stock","$1,001 - $15,000",,,
02/24/2022,03/11/2022,Capito,Shelley M,Sale (Partial),AAPL,Apple Inc. - Common Stock,"$1,001 - $15,000",,,
02/24/2022,03/11/2022,Capito,Shelley M,Sale (Partial),NEE,"NextEra Energy, Inc. Common Stock","$1,001 - $15,000",,,
02/22/2022,03/11/2022,Tuberville,Thomas H,Sale (Partial),OXY,Occidental Petroleum Corporation Common Stock,"$50,001 - $100,000",,,
02/18/2022,03/04/2022,Toomey,Patrick J,Sale (Full),--,PHLD - Phillips Edison Grocery Center REIT I,"$15,001 - $50,000",,,
02/18/2022,04/16/2022,Blunt,Roy,Sale (Full),KHC,The Kraft Heinz Company - Common Stock,"$15,001 - $50,000",Neither,32.54,02/23/2022
02/17/2022,03/11/2022,Tuberville,Thomas H,Sale (Full),ARKK,Ark Innovation ETF                                                                                                                                                                    Option Type: Short Sale Strike price: $65.00                                                Expires: 09/16/2022,"$1,001 - $15,000",,,
02/10/2022,03/11/2022,Tuberville,Thomas H,Purchase,X,United States Steel Corporation Common Stock,"$100,001 - $250,000",,,
02/10/2022,03/11/2022,Tuberville,Thomas H,Sale (Full),X,United States Steel Corporation Common Stock                                                                                                                                                                    Option Type: Short Sale Strike price: $27.00                                                Expires: 09/16/2022,"$1,001 - $15,000",,,
02/10/2022,03/11/2022,Tuberville,Thomas H,Sale (Full),X,United States Steel Corporation Common Stock                                                                                                                                                                    Option Type: Short Sale Strike price: $22.00                                                Expires: 09/16/2022,"$1,001 - $15,000",,,
02/09/2022,03/11/2022,Tuberville,Thomas H,Sale (Full),PYPL,"PayPal Holdings, Inc. - Common Stock                                                                                                                                                                    Option Type: Short Sale Strike price: $135.00                                                Expires: 09/16/2022","$1,001 - $15,000",,,
02/09/2022,03/11/2022,Tuberville,Thomas H,Purchase,PYPL,"PayPal Holdings, Inc. - Common Stock","$15,001 - $50,000",,,
02/09/2022,03/11/2022,Tuberville,Thomas H,Sale (Full),PYPL,"PayPal Holdings, Inc. - Common Stock                                                                                                                                                                    Option Type: Short Sale Strike price: $140.00                                                Expires: 09/16/2022","$1,001 - $15,000",,,
02/07/2022,03/11/2022,Tuberville,Thomas H,Sale (Full),ECOM,ChannelAdvisor Corporation Common Stock                                                                                                                                                                    Option Type: Short Sale Strike price: $22.50                                                Expires: 09/16/2022,"$1,001 - $15,000",,,
02/07/2022,03/11/2022,Tuberville,Thomas H,Purchase,PYPL,"PayPal Holdings, Inc. - Common Stock","$50,001 - $100,000",,,
02/01/2022,03/11/2022,Tuberville,Thomas H,Sale (Full),MSFT,Microsoft Corporation - Common Stock                                                                                                                                                                    Option Type: Short Sale Strike price: $265.00                                                Expires: 09/16/2022,"$15,001 - $50,000",,,
02/01/2022,03/11/2022,Tuberville,Thomas H,Sale (Full),F,Ford Motor Company Common Stock                                                                                                                                                                    Option Type: Short Sale Strike price: $20.00                                                Expires: 01/20/2023,"$15,001 - $50,000",,,
02/01/2022,03/11/2022,Tuberville,Thomas H,Sale (Full),X,United States Steel Corporation Common Stock                                                                                                                                                                    Option Type: Short Sale Strike price: $20.00                                                Expires: 09/16/2022,"$1,001 - $15,000",,,
02/01/2022,03/11/2022,Tuberville,Thomas H,Sale (Full),MRO,Marathon Oil Corporation Common Stock                                                                                                                                                                    Option Type: Short Sale Strike price: $20.00                                                Expires: 09/16/2022,"$1,001 - $15,000",,,
02/01/2022,03/11/2022,Tuberville,Thomas H,Sale (Full),CLF,Cleveland-Cliffs Inc. Common Stock                                                                                                                                                                    Option Type: Short Sale Strike price: $22.00                                                Expires: 01/20/2023,"$15,001 - $50,000",,,
01/31/2022,02/03/2022,Carper,Thomas R,Sale (Full),XAR,SPDR S&P Aerospace & Defense ETF,"$1,001 - $15,000",,,
01/31/2022,02/03/2022,Carper,Thomas R,Sale (Full),PTMC,Pacer Trendpilot US Mid Cap ETF,"$1,001 - $15,000",,,
01/31/2022,02/03/2022,Carper,Thomas R,Purchase,NVDA,NVIDIA Corporation - Common Stock,"$1,001 - $15,000",,,
01/31/2022,02/03/2022,Carper,Thomas R,Sale (Full),CEF,Sprott Physical Gold & Silver Trust,"$1,001 - $15,000",,,
01/31/2022,02/03/2022,Carper,Thomas R,Purchase,JHMM,John Hancock Multifactor Mid Cap ETF,"$1,001 - $15,000",,,
01/31/2022,02/03/2022,Carper,Thomas R,Sale (Partial),FIMKX,Fidelity Advisor Emerging Markets Fund,"$1,001 - $15,000",,,
01/31/2022,02/03/2022,Carper,Thomas R,Purchase,GNR,SPDR S&P Global Natural Resources ETF,"$1,001 - $15,000",,,
01/31/2022,02/03/2022,Carper,Thomas R,Purchase,WIW,Western Asset Inflation-Linked Opportunities & Inc,"$1,001 - $15,000",,,
01/31/2022,02/03/2022,Carper,Thomas R,Purchase,SI,Silvergate Capital Corporation Class A Common Stoc,"$1,001 - $15,000",,,
01/31/2022,02/03/2022,Carper,Thomas R,Purchase,MOO,Vaneck Agribusiness ETF,"$1,001 - $15,000",,,
01/31/2022,02/03/2022,Carper,Thomas R,Sale (Partial),LUBFX,Lord Abbett Ultra Short Bond Fund - Class F,"$1,001 - $15,000",,,
01/31/2022,02/03/2022,Carper,Thomas R,Purchase,ITA,iShares U.S. Aerospace & Defense ETF,"$1,001 - $15,000",,,
01/31/2022,02/03/2022,Carper,Thomas R,Sale (Full),GEMIX,Goldman Sachs Emerging Markets Equity Fund Insti,"$1,001 - $15,000",,,
01/31/2022,02/18/2022,Warner,Mark R,Sale (Full),ROAD,"Construction Partners, Inc. - Common Stock","$100,001 - $250,000",,,
01/28/2022,03/16/2022,Whitehouse,Sheldon,Purchase,TSLA,"Tesla, Inc.  - Common Stock","$15,001 - $50,000",,,
01/28/2022,03/16/2022,Whitehouse,Sheldon,Purchase,TGT,Target Corporation Common Stock,"$15,001 - $50,000",,,
01/26/2022,02/03/2022,Carper,Thomas R,Purchase,ITA,iShares U.S. Aerospace & Defense ETF,"$1,001 - $15,000",,,
01/26/2022,02/03/2022,Carper,Thomas R,Sale (Partial),GBIL,Goldman Sachs Access Treasury 0-1 Year ETF,"$1,001 - $15,000",,,
01/26/2022,02/03/2022,Carper,Thomas R,Sale (Partial),FDN,First Trust Dow Jones Internet ETF,"$1,001 - $15,000",,,
01/26/2022,02/03/2022,Carper,Thomas R,Sale (Full),KBA,KraneShares Bosera MSCI China A ETF,"$1,001 - $15,000",,,
01/26/2022,02/03/2022,Carper,Thomas R,Sale (Partial),CIBR,First Trust Nasdaq Cybersecurity ETF,"$1,001 - $15,000",,,
01/26/2022,02/03/2022,Carper,Thomas R,Sale (Partial),IVOO,Vanguard S&P Mid-Cap 400 ETF,"$1,001 - $15,000",,,
01/26/2022,02/03/2022,Carper,Thomas R,Sale (Full),XAR,SPDR S&P Aerospace & Defense ETF,"$1,001 - $15,000",,,
01/26/2022,02/03/2022,Carper,Thomas R,Sale (Full),GEMIX,Goldman Sachs Emerging Markets Equity Fund Insti,"$1,001 - $15,000",,,
01/26/2022,02/03/2022,Carper,Thomas R,Purchase,MOO,Vaneck Agribusiness ETF,"$1,001 - $15,000",,,
01/26/2022,02/03/2022,Carper,Thomas R,Sale (Partial),GLD,SPDR Gold Trust,"$1,001 - $15,000",,,
01/26/2022,02/03/2022,Carper,Thomas R,Purchase,SRVR,Pacer Benchmark & Infrastructure Real Estate ETF,"$1,001 - $15,000",,,
01/26/2022,02/03/2022,Carper,Thomas R,Purchase,KRE,S&P Regional Banking ETF SPDR,"$1,001 - $15,000",,,
01/26/2022,02/03/2022,Carper,Thomas R,Purchase,WIW,Western Asset Inflation-Linked Opportunities & Inc,"$1,001 - $15,000",,,
01/26/2022,02/03/2022,Carper,Thomas R,Purchase,JHMM,John Hancock Multifactor Mid Cap ETF,"$1,001 - $15,000",,,
01/26/2022,02/03/2022,Carper,Thomas R,Purchase,FIMKX,Fidelity Advisor Emerging Markets Fund,"$1,001 - $15,000",,,
01/25/2022,02/04/2022,Cruz,Rafael E,Purchase,BTC,Bitcoin                                                                                                                            Exchange/Platform: River,"$15,001 - $50,000",,,
01/24/2022,02/14/2022,Tuberville,Thomas H,Purchase,GOLD,Barrick Gold Corporation Common Stock (BC),"$50,001 - $100,000",,,
01/21/2022,02/14/2022,Tuberville,Thomas H,Sale (Full),PONCX,Pimco Income Fund Class C,"$15,001 - $50,000",,,
01/21/2022,02/14/2022,Tuberville,Thomas H,Sale (Full),CTAS,Cintas Corporation - Common Stock,"$15,001 - $50,000",,,
01/21/2022,02/14/2022,Tuberville,Thomas H,Sale (Full),LMT,Lockheed Martin Corporation Common Stock,"$15,001 - $50,000",,,
01/21/2022,02/14/2022,Tuberville,Thomas H,Sale (Full),PEP,"PepsiCo, Inc. - Common Stock","$1,001 - $15,000",,,
01/21/2022,02/17/2022,Collins,Susan M,Sale (Full),UL,Unilever PLC Common Stock,"$15,001 - $50,000",,,
01/21/2022,02/14/2022,Tuberville,Thomas H,Sale (Full),XEL,Xcel Energy Inc. - Common Stock,"$15,001 - $50,000",,,
01/21/2022,02/14/2022,Tuberville,Thomas H,Sale (Full),PG,Procter & Gamble Company (The) Common Stock,"$15,001 - $50,000",,,
01/21/2022,02/14/2022,Tuberville,Thomas H,Sale (Full),TSN,"Tyson Foods, Inc. Common Stock","$15,001 - $50,000",,,
01/21/2022,02/17/2022,Collins,Susan M,Purchase,HSY,The Hershey Company Common Stock,"$15,001 - $50,000",,,
01/21/2022,02/14/2022,Tuberville,Thomas H,Sale (Full),ABBV,AbbVie Inc. Common Stock,"$1,001 - $15,000",,,
01/21/2022,02/14/2022,Tuberville,Thomas H,Sale (Full),ABC,AmerisourceBergen Corporation Common Stock,"$15,001 - $50,000",,,
01/21/2022,02/14/2022,Tuberville,Thomas H,Sale (Full),PM,Philip Morris International Inc Common Stock,"$15,001 - $50,000",,,
01/21/2022,02/14/2022,Tuberville,Thomas H,Sale (Full),MDT,Medtronic plc. Ordinary Shares,"$15,001 - $50,000",,,
01/21/2022,02/14/2022,Tuberville,Thomas H,Sale (Full),DUK,Duke Energy Corporation (Holding Company) Common S,"$15,001 - $50,000",,,
01/20/2022,03/04/2022,Toomey,Patrick J,Sale (Partial),--,PHLD - Phillips Edison Grocery Center REIT I,"$15,001 - $50,000",,,
01/19/2022,03/28/2023,Carper,Thomas R,Sale (Partial),TSM,Taiwan Semiconductor Manufacturing Company Ltd.,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,JNJ,Johnson & Johnson Common Stock,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,V,Visa Inc.,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Partial),LHX,"L3Harris Technologies, Inc. Common Stock","$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Partial),FIMKX,Fidelity Advisor Emerging Markets Fund,"$15,001 - $50,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Partial),AAPL,Apple Inc. - Common Stock,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Partial),CSCO,"Cisco Systems, Inc. - Common Stock","$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Partial),GLW,Corning Incorporated Common Stock,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Partial),INTC,Intel Corporation - Common Stock,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,WIW,Western Asset Inflation-Linked Opportunities & Inc,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,VFH,Vanguard Financials ETF,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Partial),APO,"Apollo Global Management, Inc. Class A Common Stoc","$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,DLR,"Digital Realty Trust, Inc. Common Stock","$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,RIO,Rio Tinto Plc Common Stock,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,KBE,SPDR S&P Bank ETF,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,AMT,American Tower Corporation (REIT) Common Stock,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,SRVR,Pacer Benchmark & Infrastructure Real Estate ETF,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,VZ,Verizon Communications Inc. Common Stock,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Partial),IRM,Iron Mountain Incorporated (Delaware)Common Stock,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Full),GBIL,Goldman Sachs Access Treasury 0-1 Year ETF,"$15,001 - $50,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Partial),RTX,Raytheon Technologies Corporation Common Stock,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Partial),MET,"MetLife, Inc. Common Stock","$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Partial),AXS,Axis Capital Holdings Limited Common Stock,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Partial),GLAD,Gladstone Capital Corporation - Common Stock,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Partial),HASI,Hannon Armstrong Sustainable Infrastructure Capita,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Partial),ETN,"Eaton Corporation, PLC Ordinary Shares","$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Full),XAR,SPDR S&P Aerospace & Defense ETF,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Partial),ABBV,AbbVie Inc. Common Stock,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Partial),NVDA,NVIDIA Corporation - Common Stock,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Full),C,"Citigroup, Inc. Common Stock","$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Partial),CVS,CVS Health Corporation Common Stock,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Full),FXI,iShares China Large-Cap ETF,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Full),LMT,Lockheed Martin Corporation Common Stock,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Partial),ARCC,Ares Capital Corporation - Closed End Fund,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Partial),QCOM,QUALCOMM Incorporated - Common Stock,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Partial),TTE,TotalEnergies SE,"$1,001 - $15,000",,,
